pages	stars	date_posted	review_text	review_id
1	2	2020-05-27T00:00:00Z	We have had the app for over a month now. We have had multiple issues with the app. The chat service is there but not able to resolve most issues . They have to be escalated and then may get a delayed response. We have had issues since the launch of our subscription that has still not been resolved. I would be prepared for issues if you have a more than a few subscribers.	1
1	5	2020-05-27T00:00:00Z	Great app with awesome support. Quick to answer my questions anytime I reach out. Lots of Customization options. Thanks Priyanka for helping make my store checkout user friendly.	2
1	5	2020-05-26T00:00:00Z	Great app, generally easy to use, lots of functionality. Excelent service (especially Aryan) that's right in the app, and quite responsive!	3
1	5	2020-05-26T00:00:00Z	I was having trouble installing it, then reached out to customer service. Carter helped me along with answering some of my questions regarding subscription. thank you so much!	4
1	5	2020-05-26T00:00:00Z	Great customer service. So easy to use, and analytics are fantastic.  Super simple to set up. I'd recommend it to anyone with a consumable product, and I will use it again... for sure.	5
1	5	2020-05-26T00:00:00Z	We are very thankful with Carter, our manager on bold suscriptions. Thank you very much for the service and attention.	6
1	5	2020-05-26T00:00:00Z	Fantastic app for our subscription service. Easy to use, with plenty of features and customisation options allowing our customers to modify their subscriptions each week. Stands out from the competitors due to top notch customer service, in particular from Sarah who answered all questions and queries, along with helping to migrate our business over to Bold. Highly recommended!	7
1	5	2020-05-21T00:00:00Z	Priyanka and Charles are the best. Great service. Quick results! I just downloaded the app and asked for help during the free trial. They were quick to help and delivered results!	8
1	3	2020-05-19T00:00:00Z	I give 5 stars the customer service, but overall the app is a band aid for subscription use.  Its a little confusing and we have had customers get double charged multiple times b/c there were rules that we didn't know about. Also they charge a fee per transaction on top of the credit card fees so it gets expensive.	9
1	5	2020-05-19T00:00:00Z	Naman was quick with the answers I needed. Super helpful with getting our Bold Subscriptions app set up.	10
2	4	2020-05-18T00:00:00Z	Have been working with the BOLD team to setup our subscriptions. Rebecca has been an awesome help! Thanks heaps BOLD.	11
2	5	2020-05-16T00:00:00Z	Spoke to Priyanka today about setting up a discount code. She was very helpful and answered all of my questions. She showed me some new products I can use to improve engagement as well.	12
2	5	2020-05-15T00:00:00Z	This App has lots of cool features and thanks to Simran in Support I had a great support experience once we managed to line up the timezones.	13
2	5	2020-05-15T00:00:00Z	Great app, easy to navigate and amend things when needed. Really helpful chat service - Priyanka was very helpful when chatting online	14
2	1	2020-05-14T00:00:00Z	It worked for a while, then many subscription orders started to go through without Bold, and it's been a mess. We cannot figure out why Bold works for some orders and doesn't for others.	15
2	5	2020-05-14T00:00:00Z	Naman helped a lot with our subscriptions and figuring everything out. Bold has a lot of great features and has helped us a lot!	16
2	4	2020-05-14T00:00:00Z	"The set up is a little tough, but the customer support is very helpful and can get everything set up exactly the way you want it.                                                 

5 Stars for Carter, the customer support guy was awesome!"	17
2	5	2020-05-13T00:00:00Z	I am far from a tech person but every time I have a problem figuring something out customer service is right there. Tonight Naman was amazing. Took seconds to figure out what I needed, walked me right through the steps and solved my problem. Thank you so much Naman	18
2	5	2020-05-13T00:00:00Z	I am only about a month into using the app which marks the start of new second payments hitting and Aryan has been SUPER helpful and patient with me to help me fully understand how things work!	19
2	5	2020-05-13T00:00:00Z	Bold's customer support is great! Naman sorted out all my questions quickly, and was exceedingly patient.	20
3	5	2020-05-13T00:00:00Z	Naman was so helpful! He walked me though everything and made the process so quick and easy! Thank you Naman!!	21
3	4	2020-05-12T00:00:00Z	"Carter was extremely helpful and very quick! 

The app itself is a little difficult to set up, although the tutorials are very helpful."	22
3	5	2020-05-12T00:00:00Z	Full disclosure, Bold Customer Service used to be basically non-existent. As of late, their representatives have been beyond excellent- you can tell they've really stepped it up. I had Simran this time around and he didn't disappoint! Thanks for the help!	23
3	5	2020-05-11T00:00:00Z	Carter was super helpful is clarifying some points with subscription app! amazing first two days using it.	24
3	5	2020-05-11T00:00:00Z	Great app. A few teething issues, but the team are super helpful. I had fantastic help from Carter and Simran who helped me customise the widget on the store. A few extra features would be great, like easy customisation of the checkout page and allowing mixed cart discounts. But I'm sure these will come.	25
3	5	2020-05-11T00:00:00Z	Excellent App if you can find some time to learn the functionality, team is very helpful, Rebecca & Carter helped us with all the questions we had. They even went beyond their responsibilities and helped us install some of the missing code. Thank you again.	26
3	5	2020-05-11T00:00:00Z	Bold is easy to use so far and very responsive customer service. Less confusing than other apps. Carter is super helpful!	27
3	5	2020-05-08T00:00:00Z	"Have been using the app for years and I love it, it's very user friendly. 

Customer service is top notch, Carter made sure to find the solution to my issue quickly and in a friendly manner."	28
3	5	2020-05-08T00:00:00Z	Very easy to use - Carter provided excellent customer service! Would love the ability to add a gift message that purchasers can update each month.	29
3	5	2020-05-07T00:00:00Z	Really awesome app. Integrates with a lot of different payment gateways and has allowed us to do some really innovative stuff we've been wanting to do for a long time now. Great support aswell!	30
4	4	2020-05-06T00:00:00Z	"Aryan was a HUGE help, and all the support there has been extremely patient and helpful- very impressive!

The app could be quite good, although a couple of shortcomings... filtering products (e.g. by collection, tags etc) within build-a-box product selection is custom code offered >$1,000 US. 

Also, not clear how the different subscription types might allow to differentiate wording (e.g. a subscription-only product shows 'subscription available' on product page... however, I don't want to remove from products where 'one time purchase' is available as well), I'd like to remove 'quantity' field where I need to... and other very minor inconveniences. 

However- BEWARE- do NOT let customers use Paypal, google pay buttons etc. when purchasing subscription...they MUST use 'proceed to checkout' or they will pay, the order will not show up in queue because it's through a different sales channel (Bold doesn't use the other three payment types). 

Very, VERY awkward to call back my very best customers (subscribers), and try to have them go back and resubscribe, using a different payment type- when they've ALREADY paid, so also must send them a discount code to offset their prior payment). It's a bloody MESS... probably something I did, but if that was cautioned somewhere it wasn't evident to a noob like me. 

Anyways- people are great, give it a try, and be very aware of this other issue. Cheers-
Michael 
https://shop.nervousdog.com"	31
4	5	2020-05-06T00:00:00Z	Great customer service from Aryan Sharma! It has been a good experience during the design and development.	32
4	5	2020-05-06T00:00:00Z	Very prompt and helpful customer service, thank you for getting us up and running!! We really appreciate it! Everything seems to be working great.	33
4	5	2020-05-06T00:00:00Z	Carter provided excellent and prompt help via chat that fixed a big issue we were experiencing with our checkout.	34
4	5	2020-05-05T00:00:00Z	Massive ups to the crew at Bold Apps - we tried another competing app, and realised that this had much much much more functionality and wanted to swap over - they (particularly Sarah) was super helpful in the migration across to Bold Subscriptions (and we've since expanded into other Bold Apps on other stores) - and then even checked up a week after we'd migrated to ensure all was operating smoothly...seriously A+ customer service - whatever you're creatively looking to achieve with your store, they have a solution for it  - and a ready to help you get it!	35
4	5	2020-05-05T00:00:00Z	Carter is the best! He's very patient and super helpful when reviewing any questions I have about the app.	36
4	5	2020-05-05T00:00:00Z	Naman was a great help. Very kind and quickly fixed the issues I was having. I am pleased with the service and app.	37
4	5	2020-05-05T00:00:00Z	Carter was very helpful in troubleshooting product sync. The live chat function with their team is super comforting in case you ever have issues.	38
4	5	2020-05-04T00:00:00Z	Best app out there to sell subscription products and great support, Priyanka helped & fixed my issue very quickly	39
4	5	2020-05-04T00:00:00Z	I used this app to sell subscriptions and I do love the functionalities. The true star of the show however is the support, no doubt! Would recommend this app to anyone who wants to sell subscriptions on shopify :)	40
5	5	2020-05-04T00:00:00Z	Priyanka was an amazing help! Thank you so much. They were very patient with me and all my concerns.	41
5	1	2020-05-04T00:00:00Z	Pretty broken. They want to take a percentage of all sales. The support is god awful. And, the on-boarding process has been nothing short of a nightmare. Really, really bad. Stay away.	42
5	5	2020-05-06T00:00:00Z	Carter & Vighnesh was very helpful in helping me get the product set up. I was able to use the chat customer support to solve the issue.	43
5	5	2020-05-01T00:00:00Z	I started off using a competitor app and was unsuccessful for 3 days in setting up the subsctiption app to work (without naming it, it is highly rated on Shopify's app store). After getting zero response from support, I was then emailed an offer to pay for support for that app. Deleted the app and added this app instead. Within 1 hour of downloading the app, it was up and running. I even had an issue with the test order and Mayank in support live chatted me through the entire process. Support couldn't have been any better. Strongly recommended!	44
5	5	2020-05-13T00:00:00Z	Very amazing app! Thank you to Carter from customer support for listening to all issues and helping me figure out what was wrong. Highly recommend this app and thank you again Carter.	45
5	5	2020-05-01T00:00:00Z	The customer support here is outstanding, spoke with Mayank today. Amazing person to talk too. He addressed my all concerns by giving me immediate solution to it. In the past spoke to Harpreet & Laurel, both of them were very friendly with prompt solutions. In entirety everyone is awesome and helpful in this company. Thank you Bold Support!	46
5	5	2020-05-01T00:00:00Z	Fantastic app and support, Naman was great at helping me when I stumbled into a problem, friendly and quick support! The app itself is easy to set up and manage and integrated well with our custom theme.	47
5	5	2020-05-01T00:00:00Z	Carter, Samantha, and Melody were all great helping me with various questions today. Fast, smart, friendly and helpful live chat. Thank you.	48
5	5	2020-05-01T00:00:00Z	The customer support here is outstanding, spoke with Daniel today and he was awesome. The apps are brilliant and the live chat is amazing top rated app for sure!!!! Start using them immediately 5*	49
5	5	2020-05-01T00:00:00Z	Carter, on the bold help team is great. Thank you carter for all the help! Appreciate the speedy responses.	50
6	5	2020-04-30T00:00:00Z	Kelsey in Customer Service was a pleasure to work with! She was friendly and efficient and helped us solve a concern easily! Thank you!	51
6	5	2020-04-30T00:00:00Z	Priyanka is great!  The customer service has been great.  Very quick to respond and very helpful.   Thank you for your help!	52
6	5	2020-05-04T00:00:00Z	Both Carter and Priyanka have helped me navigate the site and easily solved my problems when I had technical questions. Really great and efficient customer service.	53
6	5	2020-04-30T00:00:00Z	Aryan S. was extremely helpful. Customer Service is perfect and the app is sweet. I recommend this one.	54
6	5	2020-04-29T00:00:00Z	Naman was great, clear and quick! Solved my problem in under 10 mins! Great service! Thanks again Naman!	55
6	5	2020-04-29T00:00:00Z	Melody and Rebecca did an amazing job with helping me get my store all squared away! I recommend them to any advanced or beginner shopify user! I am impressed, great work you guys! :)	56
6	5	2020-04-28T00:00:00Z	Carter was super helpful when I was unsure of which type to use.  The whole Bold team has been great when I needed help!  Thank you	57
6	5	2020-04-27T00:00:00Z	Naman was super helpful and friendly! My problem with the bold recurring orders app was solved quickly.	58
6	5	2020-04-27T00:00:00Z	I used Bold to launch a subscription based product and was very pleased with the apps performance and ease of use. Most impressively the customer service team has gone above and beyond to answer questions every single time I have them, Carter has followed up and been a great resource of support!	59
6	5	2020-04-27T00:00:00Z	"I use BOLD app for my clients all the time since they have everything the clients want to use and I use them because of not only the features but also their customer support. Their support is just so helpful and FAST. Especially, a support agent, Naman, resolved our issue quickly and very helpful.
Thank you, Bold :) You guys are awesome!"	60
7	5	2020-04-26T00:00:00Z	I spent a lot of time researching which app was best for our specific purpose and this one was one of the best!  Customer support was always helpful and got back to me right away.  My hats off to you and your team : )	61
7	5	2020-04-25T00:00:00Z	"Have used bold for a couple of years now and really rate the support. They get things sorted quickly. (Thank you to Daniel for sorting some custom coding for me QUICK SNAP!) 

Haven't had any issues at all and the process to switch was easy, to maintain even easier and i am super happy with them."	62
7	5	2020-04-24T00:00:00Z	We have completed setup and everything works well.  We are happy with the backend setup tools.  Samantha helped us out twice to get things rolling.  We are actually renting a physical product versus a typical subscription model, so we had to tweak a few things to make this customer friendly.  So far, so good!	63
7	5	2020-04-24T00:00:00Z	This app does everything you need. Great customer service, Naman and Cody were quick to reply and help with an issue I was unable to solve on my own. I highly recommend Bold to anyone looking for a subscription plugin to their Shopify store.	64
7	5	2020-05-19T00:00:00Z	Great app with good functionality. Sarah and Carter with Bold answered every question and problem I had perfectly and in good time. Sarah even notified me about and helped me fix problems that I didn't realize I had. Above and beyond EXCELLENT customer service! Thanks Sarah and Carter!	65
7	5	2020-04-24T00:00:00Z	Customer service is terrific. They are available by email or inmediatly via chat. They always answer all my questions effectively. Thank you.	66
7	5	2020-04-24T00:00:00Z	Some of the best support I've experienced in dealing with Shopify apps. Priyanka was outstanding in helping me with installation and theme-specific questions.	67
7	5	2020-04-23T00:00:00Z	Loving the Bold subscription app and have found the speed and accuracy of the help from Vighnesh  a fantastic additional value.	68
